N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9971,0.9729,0.2786,0.8403,0.9826,0.9310,0.8204,0.6969,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,2,4,4,5,0.8596,0.8215,0.3378,0.7699,0.6862,0.6488,0.3871,0.4658,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,3,2,4,5,0.9974,0.9746,0.2757,0.8423,0.9885,0.9354,0.8312,0.7041,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,3,4,4,5,0.9150,0.8606,0.3192,0.7914,0.7907,0.7321,0.4839,0.5358,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,4,2,4,5,0.9974,0.9746,0.2757,0.8418,0.9885,0.9361,0.8324,0.7048,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,4,4,4,5,0.9273,0.8745,0.3029,0.7946,0.8192,0.7511,0.5159,0.5528,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,2,2,8,5,0.9997,0.9968,0.0192,0.8599,0.9912,0.9691,0.8179,0.6030,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,2,4,8,5,0.9680,0.9080,0.3324,0.8176,0.9093,0.8207,0.6121,0.5176,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,2,6,8,5,0.8367,0.7826,0.5901,0.7378,0.6794,0.6514,0.3423,0.4220,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,2,8,8,5,0.4388,0.5439,0.3839,0.5393,0.1942,0.2705,0.1068,0.2286,0.0411,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,3,2,8,5,0.9997,0.9973,0.0154,0.8596,0.9943,0.9723,0.8231,0.6064,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
