N,f,k,q,W,gossip_flow_recon_recall_mean,gossip_flow_recon_recall_std,gossip_flow_dos_recall_mean,gossip_flow_dos_recall_std,gossip_corrected_flow_recon_recall_mean,gossip_corrected_flow_recon_recall_std,gossip_corrected_flow_dos_recall_mean,gossip_corrected_flow_dos_recall_std,gossip_window_recon_recall_mean,gossip_window_recon_recall_std,gossip_window_dos_recall_mean,gossip_window_dos_recall_std,gossip_recon_fpr_mean,gossip_recon_fpr_std,gossip_dos_fpr_mean,gossip_dos_fpr_std,gossip_bandwidth_mean,gossip_bandwidth_std,gossip_latency_mean,gossip_latency_std,indep_flow_recon_recall_mean,indep_flow_recon_recall_std,indep_flow_dos_recall_mean,indep_flow_dos_recall_std,indep_window_recon_recall_mean,indep_window_recon_recall_std,indep_window_dos_recall_mean,indep_window_dos_recall_std,indep_recon_fpr_mean,indep_recon_fpr_std,indep_dos_fpr_mean,indep_dos_fpr_std,indep_bandwidth_mean,indep_bandwidth_std,indep_latency_mean,indep_latency_std,cent_flow_recon_recall_mean,cent_flow_recon_recall_std,cent_flow_dos_recall_mean,cent_flow_dos_recall_std,cent_window_recon_recall_mean,cent_window_recon_recall_std,cent_window_dos_recall_mean,cent_window_dos_recall_std,cent_recon_fpr_mean,cent_recon_fpr_std,cent_dos_fpr_mean,cent_dos_fpr_std,cent_bandwidth_mean,cent_bandwidth_std,cent_latency_mean,cent_latency_std
8,2,4,2,5,0.9966666666666667,0.0005859465277082451,0.9716999999999999,0.0010392304845413482,0.27803333333333335,0.0005507570547285907,0.8408000000000001,0.0005000000000000282,0.9849666666666668,0.002079262689833469,0.9297333333333334,0.0012055427546683647,0.8205666666666667,0.00020816659994659034,0.6974333333333332,0.0005033222956846778,0.0265,0.0,5319.67,0.0,1.0,0.0,0.9973,0.0,0.9983,0.0,0.9827,0.0,0.8981,0.0,0.7543000000000001,0.0,0.0,0.0,5319.67,0.0,0.9974,0.0,0.9746,0.0,0.9885,0.0,0.9361,0.0,0.8324000000000001,0.0,0.7048,0.0,0.013199999999999998,0.0,5319.67,0.0
8,2,4,4,5,0.8530666666666668,0.006760424049816241,0.8151333333333334,0.0056536124144951376,0.32759999999999995,0.014342942515397613,0.7654666666666667,0.003911947511577006,0.6849666666666666,0.0024906491790963243,0.6390333333333333,0.01127135011138121,0.3878333333333333,0.0016289055630494158,0.4671,0.0012999999999999748,0.0265,0.0,5319.67,0.0,1.0,0.0,0.9973,0.0,0.9983,0.0,0.9827,0.0,0.8981,0.0,0.7543000000000001,0.0,0.0,0.0,5319.67,0.0,0.9302,0.0,0.8767,0.0,0.8237,0.0,0.7542,0.0,0.5219,0.0,0.5552,0.0,0.013199999999999998,0.0,5319.67,0.0
8,2,8,2,5,0.9994333333333333,0.00046188021535172985,0.9969666666666667,0.0002886751345947811,0.020599999999999997,0.0017776388834631176,0.8607666666666667,0.0008504900548115555,0.9912,0.0018000000000000238,0.9686666666666667,0.0012096831541082327,0.8177333333333333,0.00037859388971997655,0.6032000000000001,0.0008185352771872328,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9997000000000001,0.0,0.9975999999999999,0.0,0.9943,0.0,0.9732,0.0,0.8236,0.0,0.6066,0.0,0.0205,0.0,3431.0,0.0
8,2,8,4,5,0.9678666666666667,0.0013051181300300957,0.9108,0.007031358332498749,0.3355333333333333,0.002802379940931185,0.8215666666666667,0.008022676195218952,0.9089999999999999,0.0017691806012954073,0.8264666666666667,0.005173329037798899,0.6122,0.0036510272527057385,0.5194666666666666,0.0026501572280401486,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9888,0.0,0.9672,0.0,0.9555000000000001,0.0,0.9001,0.0,0.7269,0.0,0.5543,0.0,0.0205,0.0,3431.0,0.0
8,2,8,6,5,0.8318,0.004629254799641105,0.7811,0.001322875655532286,0.5903999999999999,0.000300000000000078,0.7334333333333333,0.004254801209614071,0.6760333333333334,0.0029871948937646242,0.6562333333333333,0.0043981056528162,0.34169999999999995,0.0007211102550928127,0.4193,0.0029206163733020464,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9379,0.0,0.8672,0.0,0.8542,0.0,0.7817,0.0,0.5198,0.0,0.49510000000000004,0.0,0.0205,0.0,3431.0,0.0
8,2,8,8,5,0.45816666666666667,0.017277827795568863,0.5403000000000001,0.0031575306807693562,0.4098333333333333,0.024708163293400285,0.5348666666666667,0.004306197084822443,0.20093333333333332,0.008154344445345253,0.2750666666666667,0.004366157731155996,0.1087,0.002193171219946127,0.22653333333333334,0.0027592269448766535,0.0411,0.0,5146.5,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.7826,0.0,0.7655,0.0,0.5958,0.0,0.6042,0.0,0.2952,0.0,0.38219999999999993,0.0,0.0205,0.0,3431.0,0.0
8,2,16,2,5,0.9997000000000001,0.0,0.9957333333333334,0.00011547005383791243,0.021433333333333332,0.002746512940681936,0.8605,0.0005196152422706861,0.9922333333333334,0.0007094598884597556,0.9682333333333334,0.00045092497528231157,0.8189000000000001,0.0007937253933194261,0.6025666666666666,0.0005507570547286083,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9997000000000001,0.0,0.9975999999999999,0.0,0.9943,0.0,0.9732,0.0,0.8236,0.0,0.6066,0.0,0.0205,0.0,3431.0,0.0
8,2,16,4,5,0.9681666666666667,0.0019295940851208058,0.9149666666666666,0.011834835585395007,0.3359666666666667,0.005946707772653135,0.8253666666666667,0.01199763865655799,0.9058999999999999,0.00295127091267472,0.8300666666666667,0.00215483951451918,0.6142333333333333,0.003939966158907138,0.5226999999999999,0.001135781669160041,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9888,0.0,0.9672,0.0,0.9555000000000001,0.0,0.9001,0.0,0.7269,0.0,0.5543,0.0,0.0205,0.0,3431.0,0.0
8,2,16,6,5,0.8309333333333333,0.010048051220676268,0.7837333333333333,0.006164684366075353,0.5919333333333333,0.015050027685467298,0.7319666666666667,0.007479527614317199,0.6719333333333334,0.009057777505179354,0.6577333333333334,0.005185878260558474,0.34306666666666663,0.006038487669386541,0.41819999999999996,0.0020074859899884482,0.0411,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9379,0.0,0.8672,0.0,0.8542,0.0,0.7817,0.0,0.5198,0.0,0.49510000000000004,0.0,0.0205,0.0,3431.0,0.0
8,2,16,8,5,0.46003333333333335,0.016932316242420392,0.5485666666666668,0.00802516874173582,0.41396666666666665,0.022793931941052486,0.5412,0.008501764522732899,0.2024,0.00904157066001257,0.27676666666666666,0.00941134067672261,0.10823333333333333,0.004801388688008233,0.22999999999999998,0.002251666049839543,0.0411,0.0,5146.5,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.7826,0.0,0.7655,0.0,0.5958,0.0,0.6042,0.0,0.2952,0.0,0.38219999999999993,0.0,0.0205,0.0,3431.0,0.0
