N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,6,16,5,0.8415,0.7882,0.6093,0.7398,0.6812,0.6614,0.3463,0.4205,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,2,8,16,5,0.4788,0.5532,0.4359,0.5466,0.2034,0.2751,0.1081,0.2299,0.0411,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,2,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,2,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,2,16,5,0.9997,0.9971,0.0154,0.8596,0.9943,0.9719,0.8230,0.6063,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,3,4,16,5,0.9826,0.9540,0.2180,0.8518,0.9410,0.8793,0.6841,0.5433,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,3,6,16,5,0.8950,0.8366,0.5426,0.7704,0.7754,0.7313,0.4327,0.4649,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,3,8,16,5,0.6871,0.6997,0.5595,0.6767,0.4553,0.4893,0.2124,0.3226,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,3,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,3,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,2,16,5,0.9997,0.9976,0.0154,0.8599,0.9943,0.9732,0.8236,0.6066,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,4,4,16,5,0.9874,0.9604,0.1768,0.8511,0.9498,0.8929,0.7194,0.5525,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,4,6,16,5,0.9262,0.8518,0.4874,0.7779,0.8340,0.7631,0.4884,0.4862,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,4,8,16,5,0.7626,0.7442,0.5764,0.7060,0.5702,0.5747,0.2760,0.3679,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,4,10,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,12,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,14,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
8,4,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000
16,2,2,4,5,0.9934,0.9511,0.4997,0.8119,0.9736,0.8783,0.6390,0.7696,0.0154,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,4549.0000
16,2,4,4,5,0.6682,0.6219,0.2695,0.5522,0.4932,0.4073,0.2005,0.3573,0.0154,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,4549.0000
16,3,2,4,5,0.9931,0.9638,0.4997,0.8180,0.9823,0.9024,0.6674,0.7880,0.0232,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,4549.0000
16,3,4,4,5,0.8292,0.7347,0.3613,0.6547,0.6675,0.5546,0.2925,0.4821,0.0232,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,4549.0000
16,4,2,4,5,0.9954,0.9702,0.5017,0.8188,0.9865,0.9150,0.6806,0.7959,0.0309,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,4549.0000
16,4,4,4,5,0.8933,0.7753,0.4168,0.6882,0.7598,0.6389,0.3545,0.5520,0.0309,4549.0000,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,4549.0000,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,4549.0000
16,2,2,8,5,0.9997,0.9973,0.2669,0.8232,0.9974,0.9761,0.8751,0.7260,0.0264,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,2660.3300
16,2,4,8,5,0.9602,0.9073,0.3069,0.8139,0.8725,0.8009,0.5762,0.5874,0.0264,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,2660.3300
16,2,6,8,5,0.7162,0.7222,0.3321,0.6933,0.4722,0.4429,0.2318,0.3587,0.0264,3990.5000,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,2660.3300
16,2,8,8,5,0.3275,0.1409,0.2074,0.1352,0.1858,0.0411,0.0282,0.1318,0.0264,3990.5000,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,2660.3300
16,3,2,8,5,1.0000,0.9961,0.2666,0.8202,0.9982,0.9761,0.8835,0.7353,0.0397,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,2660.3300
16,3,4,8,5,0.9814,0.9418,0.2792,0.8308,0.9360,0.8659,0.6765,0.6299,0.0397,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,2660.3300
16,3,6,8,5,0.8473,0.8239,0.3430,0.7706,0.6695,0.6366,0.3750,0.4740,0.0397,3990.5000,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,2660.3300
16,3,8,8,5,0.4880,0.4368,0.2603,0.4309,0.3102,0.1490,0.0917,0.2428,0.0397,3990.5000,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,2660.3300
16,4,2,8,5,1.0000,0.9978,0.2666,0.8173,0.9987,0.9801,0.8871,0.7385,0.0529,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,2660.3300
