N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9960,0.9711,0.2780,0.8413,0.9858,0.9296,0.8208,0.6975,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,2,4,4,5,0.8461,0.8132,0.3112,0.7625,0.6821,0.6267,0.3897,0.4671,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,3,2,4,5,0.9974,0.9743,0.2763,0.8415,0.9882,0.9354,0.8321,0.7045,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,3,4,4,5,0.9093,0.8594,0.3106,0.7892,0.7921,0.7300,0.4875,0.5351,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,4,2,4,5,0.9974,0.9746,0.2757,0.8418,0.9885,0.9361,0.8324,0.7048,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,4,4,4,5,0.9268,0.8726,0.3021,0.7951,0.8164,0.7511,0.5167,0.5528,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,2,2,8,5,0.9997,0.9973,0.0226,0.8616,0.9930,0.9696,0.8180,0.6041,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,2,4,8,5,0.9691,0.9188,0.3378,0.8308,0.9106,0.8307,0.6086,0.5183,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,2,6,8,5,0.8275,0.7806,0.5904,0.7293,0.6750,0.6600,0.3409,0.4162,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,2,8,8,5,0.4720,0.5390,0.4331,0.5307,0.1986,0.2755,0.1082,0.2234,0.0411,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,3,2,8,5,0.9997,0.9976,0.0166,0.8599,0.9943,0.9732,0.8224,0.6066,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,3,4,8,5,0.9803,0.9489,0.2346,0.8464,0.9357,0.8720,0.6860,0.5422,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,3,6,8,5,0.8942,0.8212,0.5546,0.7523,0.7794,0.7222,0.4351,0.4653,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,3,8,8,5,0.6805,0.6970,0.5461,0.6691,0.4531,0.4916,0.2175,0.3208,0.0616,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,4,2,8,5,0.9997,0.9976,0.0154,0.8599,0.9943,0.9732,0.8236,0.6066,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,4,4,8,5,0.9874,0.9663,0.1682,0.8574,0.9533,0.8974,0.7201,0.5529,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
